 ,English,Vietnamese,Korean,Chinese,Russian,Italian,French,Japanese,Spanish,German
Win_Level_116,She can be a zombie or just having a fight with her boyfriend,"Chạy ngay đi, trước khi bị cô ta cắn!",그녀는 좀비가 될 수도 있고 남자 친구와 싸울 수도 있다,她可以是僵尸，也可以只是和男朋友吵架,Она может быть зомби или просто драться со своим парнем.,Può essere uno zombie o avrà solo litigato con il suo ragazzo,Elle peut être un zombie ou juste se disputer avec son petit ami,彼女はゾンビになることも、ボーイフレンドと喧嘩することもできます,Ella puede ser un zombie o simplemente tener una pelea con su novio.,Sie kann ein Zombie sein oder sich einfach nur mit ihrem Freund streiten
Win_Level_117,Sometime you can't even tell if their eyes are open or close,Tìm xong mà hoa hết cả mắt!,가끔은 눈을 떴는지 감았는지조차 모를 때가 있다,有时你甚至无法判断他们的眼睛是睁着还是闭着,"Иногда вы даже не можете сказать, открыты их глаза или закрыты",A volte non puoi nemmeno capire se i loro occhi sono aperti o chiusi,"Parfois, vous ne pouvez même pas dire si leurs yeux sont ouverts ou fermés",時々あなたは彼らの目が開いているか閉じているかさえ分からない,A veces ni siquiera puedes saber si sus ojos estÃ¡n abiertos o cerrados,"Manchmal kann man nicht einmal sagen, ob ihre Augen geÃ¶ffnet oder geschlossen sind"
Win_Level_118,A phone call a day keeps sorrow away,Tôi thích lướt facebook hơn!,하루 한 통의 전화가 슬픔을 잊게 한다,一天一个电话，让悲伤远离,Телефонный звонок в день избавляет от печали,Una telefonata al giorno toglie il dolore di torno,Un coup de téléphone par jour éloigne le chagrin,一日の電話は悲しみを遠ざける,Una llamada telefÃ³nica al dÃ­a aleja el dolor,Ein Anruf am Tag hÃ¤lt Kummer fern
Win_Level_119,I think i will categorize masks as beauty tools,Đeo khẩu trang là xinh!,나는 마스크를 미용 도구로 분류할 것이라고 생각한다,我想我会把面膜归类为美容工具,"Думаю, я отнесу маски к категории косметических средств.",Penso che classificherò le maschere come strumenti di bellezza,Je pense que je vais catégoriser les masques comme des outils de beauté,マスクを美容ツールに分類すると思います,Creo que categorizarÃ© las mÃ¡scaras como herramientas de belleza.,"Ich denke, ich werde Masken als SchÃ¶nheitswerkzeuge kategorisieren"
Win_Level_120,There ain't no such thing as a free lunch,Con nai mê táo!,공짜 점심은 없다,天下没有免费的午餐,"Нет такой вещи, как бесплатный обед",Non c'è niente come un pranzo gratis,Il n'y a pas de déjeuner gratuit,フリーランチのようなものはありません,No existe tal cosa como un almuerzo gratis,Es gibt kein kostenloses Mittagessen
Win_Level_121,"Next time, choose eating contest please",Lần sau hãy chọn tham gia cuộc thi ăn,다음 번에 섭식 ​​대회를 선택하십시오,下次，选择吃比赛,"В следующий раз выберите конкурс еды, пожалуйста","La prossima volta, scegli Mangiare Concorso per favore","La prochaine fois, choisissez un concours de manger s'il vous plaît",次回、食事コンテストを選択してください,"La próxima vez, elija Comer Concurso por favor","Nächstes Mal, wählen Sie bitte den Winterwettbewerb"
Win_Level_122,Just play hide and seek,Chỉ là chơi trốn tìm thôi mà,그냥 숨기기와 탐색 해,只是玩捉迷藏,Просто играй спрятаться,Basta giocare a nascondino,Juste jouer à cache-cache,ただ隠れて求める,Solo juega a esconderse y busca,Einfach verstecken und suchen
Win_Level_123,"Giant body, small heart",Cơ thể khổng lồ nhưng trái tim yếu đuối,"거대한 몸, 작은 마음",巨大的身体，小心脏,"Гигантское тело, маленькое сердце","Corpo gigante, piccolo cuore","Corps géant, petit coeur",巨大な体、小さい心,"Cuerpo gigante, corazón pequeño","Riesiger Körper, kleines Herz"
Win_Level_124,Becareful with thing behind the mask,Mọi người luôn bất ngờ với thứ phía sau mặt nạ,마스크 뒤에있는 것과 함께 가십시오,对面具后面的东西,Dix Cuidado Con La Cosa Detrás de la Máscara,Era con la cosa dietro la maschera,Se tromper avec la chose derrière le masque,マスクの後ろのものでは,Ten cuidado con la cosa detrás de la máscara,Sei vor der Maske mit Ding
Win_Level_125,Spank that ass,Đập giấy nhưng đau mông,그 엉덩이를 뿌린다,打屁股,Шлепать эту задницу,Sculacciare quell'asino,Spank que le cul,そのお尻をスパンクする,Azotar ese culo,Spank diesen Arsch
Win_Level_126,Real man use pink panty,Bên ngoài cứng rắn bên trong yếu điệu,진짜 남자는 핑크 팬티를 사용합니다,真正的男人使用粉红色的内裤,Реальный мужчина использует розовые трусики,Uomo reale usa la panty rosa,Un vrai homme utilise la culotte rose,本物の男性はピンクのパンティを使います,Hombre real usa panty rosa,"Echter Mann, der rosa Slip verwendet"
Win_Level_127,This game need to be widespread,Trò chơi này nên được phổ biến rộng rãi hơn,이 게임은 광범위해야합니다,这个游戏需要普遍存在,Эта игра должна быть широко распространена,Questo gioco deve essere diffuso,Ce jeu doit être répandu,このゲームは広くなる必要があります,Este juego necesita ser generalizado.,Dieses Spiel muss weit verbreitet sein
Win_Level_128,You look stunning like a painting,"Em đẹp như một bức tranh, theo nghĩa đen",당신은 그림처럼 놀라운 것처럼 보입니다,你看起来像一幅画,"Ты выглядишь потрясающе, как картина",Guardi stupendi come un dipinto,Vous avez l'air magnifique comme une peinture,あなたは絵のように見事に見えます,Te ves impresionante como una pintura,Du siehst atemberaubend aus wie ein Gemälde
Win_Level_129, The wolf only want to have a dinner with her ,Có lẽ con sói chỉ muốn mời cô ấy bữa tối,늑대는 그녀와 저녁을 먹고 싶어합니다.,狼只想和她一起吃饭,Волк только хочет поужинать с ней,Il lupo vuole solo cenare con lei,Le loup veut seulement avoir un dîner avec elle,オオカミは彼女と夕食を食べたいだけです,El lobo solo quiere cenar con ella.,Der Wolf will nur ein Abendessen mit ihr haben
Win_Level_130,18+ is still number and number is math,"18+ cũng là số, mà số là toán rồi",18+는 여전히 숫자이며 수는 수학입니다,18+仍然是号码，数字是数学,18+ все еще номер и номер математики,18+ è ancora il numero e il numero è matematica,18+ est toujours le nombre et le nombre est Math,18 +はまだ番号と数が数学です,18+ es todavía número y número es matemáticas,18+ ist noch Nummern und Nummer ist mathematisch
Win_Level_131,Where does the elephant take water from?,"Con voi lấy nước từ đâu thế, bồn tắm của nó à",코끼리는 어디에서 물을 가져옵니다.,大象在哪里喝水？,Откуда берут слон воду?,Da dove viene l'elefante?,D'où vient l'eau d'éléphant?,象はどこから水を取りますか？,¿De dónde saca el elefante el elefante?,Woher kommt der Elefant Wasser?
Win_Level_132,"Book can fly too, when you throw it",Sách cũng biết bay nếu bạn ném nó,책을 던지면 책이 날 수 있습니다,当你扔它时，书可以飞翔,"Книга может летать тоже, когда вы бросаете это",Il libro può volare anche quando lo butti,Livre peut trop voler quand vous le jetez,あなたがそれを投げるとき、本も飛ぶことができます,"El libro puede volar también, cuando lo tiras.","Buch kann auch fliegen, wenn Sie es werfen"
Win_Level_133,Fail at the first time right? Who doesn't,"Lần đầu thất bại đúng không, ai chẳng thế",처음으로 오른쪽으로 실패합니까? 누가하지 않았어,第一次失败吗？谁没有,Сбой в первый раз правильно? Кто не,Fallire alla prima volta giusto? Chi no,Échouer à la première fois? Qui ne,初めて失敗する？誰がいないのです,"Fallo por primera vez, ¿verdad? Quien no",Zum ersten mal fehlschlagen? Wer nicht?
Win_Level_134,Beauty in her own way,Vẫn đẹp theo cách riêng,그녀의 자신의 길에서 아름다움,美丽以她自己的方式,Красота по-своему,Bellezza a modo suo,La beauté à sa manière,彼女自身の道の美しさ,Belleza a su manera,Schönheit auf ihrer eigenen Art
Win_Level_135,At least she is a strong women,Ít nhất thì cô ấy cũng mạnh mẽ,적어도 그녀는 강한 여성입니다,至少她是一个强大的女性,"По крайней мере, она сильные женщины",Almeno lei è una donna forte,Au moins elle est une femme forte,少なくとも彼女は強い女性です,Al menos ella es una mujer fuerte.,Zumindest ist sie ein starker Frauen
Win_Level_136,"what is this, PUBG?","Ủa, đây là PUBG hay gì","이게 뭐야, Pubg?",这是什么，pubg？,"Что это, pubg?","Cos'è questo, PUBG?","Qu'est-ce que c'est, pubg?",これは何ですか、Pubg？,"¿Qué es esto, pubg?","Was ist das, PUBG?"
Win_Level_137,Too much math,Quá nhiều toán,너무 많은 수학,数学太多了,Слишком много математики,Troppa matematica,Trop de mathématiques,数学が多すぎる,Demasiada matemática,Zu viel Mathematik
Win_Level_138,How about climb up and take that apple down?,Sao không tròe lên mà hái táo cho nhanh,어때는 오르고 그 사과를 어떻게 내려 갔습니까?,爬上爬上苹果怎么样？,Как насчет подняться вверх и взять это яблоко вниз?,Che ne dici di salire e prendere quella mela in basso?,Que diriez-vous de grimper et de prendre cette pomme?,どのくらい登り、そのリンゴを降ろしますか？,¿Qué hay de escalar y bajar esa manzana?,Wie wäre es mit dem Aufstieg und nimm diesen Apfel nach unten?
Win_Level_139,So this is not Remy from ratatouille?,Tôi đoán đây không phải Remy của ratatouille rồi,그래서 이것은 ratatouille에서 레미가 아닙니다.,所以这不是Ratatouille的污染吗？,Так что это не Remy из Рататуилей?,Quindi questo non è remy da Ratatouille?,"Donc, ce n'est pas Remy de Ratatouille?",だからこれはラタトゥイユからのレミーではありませんか？,¿Así que esto no es remedio de Ratatouille?,Das ist also nicht von Ratatouille remy?
Win_Level_140,"Maybe the brand was wrong, not her","Có khi là nhãn hàng đã sai, không phải cô ấy",어쩌면 브랜드가 틀렸을 것입니다,也许品牌错了，不是她的,"Может быть, бренд был неправ, а не она","Forse il marchio era sbagliato, non lei","Peut-être que la marque était fausse, pas elle",たぶんブランドは間違っていた、彼女ではありませんでした,"Tal vez la marca estaba equivocada, no ella.","Vielleicht war die Marke falsch, nicht ihr"
Win_Level_141,Kid shouldn't use Soda,Trẻ em không nên uống nhiều đồ có gas đâu,아이는 소다를 사용해서는 안됩니다,孩子不应该使用苏打水,Ребенок не должен использовать газировку,Kid non dovrebbe usare la soda,Kid ne devrait pas utiliser de soda,子供はソーダを使ってはいけません,El niño no debería usar soda,Kind sollte Soda nicht verwenden
Win_Level_142,Lovers’ quarrel are soon mended,Yêu nhau lắm cắn nhau đau,연인의 싸움은 곧 망가졌습니다,恋人的争吵很快就会修补,Ссоритель влюбленных вскоре починяется,La lite degli amanti è presto riparata,Querelle des amoureux sont bientôt réparés,恋人の口論はすぐに修理されています,La pelea de los amantes pronto se remendan,Der Streit der Liebhaber sind bald präpariert
Win_Level_143,Hiding is not always bad,che giấu không phải luôn tệ,숨어있는 것은 항상 나쁜 것은 아닙니다,隐藏并不总是坏,Скрытие не всегда плохо,Nascondere non è sempre male,Cacher n'est pas toujours mauvais,隠れているとは限りません,Ocultar no siempre es malo,Verstecken ist nicht immer schlecht
Win_Level_144,I wish pipe repair is that simple in real life,Ước gì sửa ống nước ngoài đời cũng dễ thế,나는 진짜 생활에서 파이프 수리가 단순하다는 것을 바란다.,我希望管道修复在现实生活中简单,"Я хочу, чтобы ремонт труб это просто в реальной жизни",Vorrei che la riparazione dei tubi sia così semplice nella vita reale,Je souhaite que la réparation des tuyaux soit aussi simple dans la vie réelle,私はパイプの修理が実生活で簡単なことです,Deseo la reparación de la tubería es tan simple en la vida real.,"Ich wünsche der Rohrreparatur, ist das einfach im wirklichen Leben"
Win_Level_145,Why didn't he destroy the camera?,Sao không đập luôn cái camera đi nhỉ,왜 카메라를 파괴하지 않았습니까?,他为什么不摧毁相机？,Почему он не уничтожил камеру?,Perché non ha distrutto la macchina fotografica?,Pourquoi n'a-t-il pas détruit la caméra?,なぜ彼はカメラを破壊しなかったのですか？,¿Por qué no destruyó la cámara?,Warum hat er die Kamera nicht zerstört?
Win_Level_146,I rather making a new key,Tôi thà làm chìa khóa mới còn hơn lục tung chỗ này,나는 오히려 새로운 키를 만드는 것입니다,我宁愿制作一个新的关键,Я скорее делаю новый ключ,Preferisco fare una nuova chiave,Je préfère faire une nouvelle clé,私はむしろ新しい鍵を作ります,Prefiero hacer una nueva llave,Ich mache lieber einen neuen Schlüssel
Win_Level_147,"Next time, try 1000 pieces puzzle ",Lần tới thử xếp hình 1000 miếng xem,다음 번에 1000 개를 시도하십시오,下次，尝试1000件拼图,В следующий раз попробуйте 1000 штук головоломки,"La prossima volta, prova 1000 pezzi di puzzle","La prochaine fois, essayez 1000 pièces puzzle",次回は、1000個のパズルを試してください,"La próxima vez, intente un rompecabezas de 1000 piezas.",Nächstes Mal versuchen Sie 1000 Stück Puzzle
Win_Level_148,What if the girl in photo galerry is the other girl?,Nếu ảnh trong album lại là hôn cô gái còn lại thì sao nhỉ?,사진 Galerry의 소녀가 다른 소녀 인 경우에는 어떨까요?,如果照片播放器中的女孩是其他女孩，怎么办？,Что если девушка в фото Галри - другая девушка?,Cosa succede se la ragazza nella Geldery Galery è l'altra ragazza?,Et si la fille de la photo galerry est l'autre fille?,写真ギャラリーの女の子が他の女の子であるならばどうなりますか？,¿Y si la chica en la foto de Galerry es la otra chica?,"Was ist, wenn das Mädchen in der Foto-Galerie das andere Mädchen ist?"
Win_Level_149,Don't be fool by the way it look,Đừng để vẻ bề ngoài của mấy chai lọ đó đánh lừa,그것이 보이는 방식으로 바보가되지 마라,妨碍它看起来不是傻瓜,"Не будь дураком, кстати, это выглядит",Non essere pazzo dal modo in cui guarda,Ne soyez pas fou par la façon dont il a l'air,見た目によってばかげないでください,No seas tonto por la forma en que se ve,"Sei nicht dumm, daß es aussieht"
Win_Level_150,So the position isn't change from beginning?,Vậy là vị trí quân bài trước sau không đổi nhỉ ,그 위치는 처음부터 바뀌지 않습니까?,所以位置从头开始没有变化？,"Таким образом, позиция не переходит с начала?",Quindi la posizione non è cambiata dall'inizio?,"Donc, la position ne change pas du début?",だから、位置は始まりから変わらないのですか？,¿Entonces la posición no cambia de principio?,Die Position ändert sich also nicht von Anfang an?
Win_Level_151,No need prince to handle this,"Không cần hoàng tử, chị đây cân tất",이것을 처리하기 위해 왕자가 필요하지 않습니다,不需要王子处理这个,"Нет нужна принц, чтобы справиться с этим",Non c'è bisogno di principe per gestirlo,Pas besoin de prince pour gérer cela,これを処理するのは王子を必要としません,No necesita príncipe para manejar esto,"Nein, brauche Prinz, um damit umzugehen"
Win_Level_152,Broken bulb can't light up?,Đèn vỡ có sáng được không?,깨진 전구가 켜질 수 없습니까?,破碎的灯泡不能点亮？,Сломанная лампа не может зажечь?,La lampadina rotta non può accendersi?,L'ampoule cassée ne peut pas s'allumer?,壊れた電球は点灯できませんか？,Bombilla rota no se puede iluminar?,Die gebrochene Birne kann nicht beleuchten?
Win_Level_153,You can hit the bear with that racket,Có thể dùng vợt tennis đánh gấu mà ,그 라켓으로 곰을 때릴 수 있습니다,你可以用那个球拍击中熊,Вы можете ударить медведь с этой ракеткой,Puoi colpire l'orso con quella racchetta,Vous pouvez frapper l'ours avec cette raquette,あなたはそのラケットとクマを打つことができます,Puedes golpear el oso con esa raqueta.,Sie können den Bären mit diesem Schläger schlagen
Win_Level_154,Just like a brand new car,Rửa xe đi là lại như mới ấy mà ,아주 새로운 차처럼,就像一个全新的汽车,"Так же, как новый автомобиль",Proprio come un'auto nuova di zecca,Juste comme une voiture neuve,真新しい車のように,Al igual que un auto nuevo.,Wie ein brandneues Auto
Win_Level_155,Shouldn't mess up with woman,Đừng nên chọc phụ nữ nổi giận ,여자와 엉망이되어서는 안된다,不应该搞砸女人,Не должен испортиться с женщиной,Non dovrebbe rovinare con la donna,Ne devrait pas gâcher avec une femme,女性を台無しにするべきではありません,No debería arruinarse con la mujer,Sollte nicht mit der Frau versauen
Win_Level_156,Why doesn't he use Dog instead?,Sao không dùng chó kéo xe nhỉ?,왜 그가 개를 대신 사용하지 않습니까?,他为什么不使用狗？,Почему он не пользуется собакой вместо этого?,Perché non usa invece il cane?,Pourquoi n'utilise-t-il pas chien à la place?,なぜ彼は犬を代わりに使わないのですか？,¿Por qué no usa el perro?,Warum benutzt er nicht stattdessen Hund?
Win_Level_157,Sunflower loves sun,Hoa mặt trời tất nhiên yêu mặt trời rồi ,해바라기는 일요일을 좋아합니다,向日葵喜欢太阳,Подсолнух любит Солнце,Il girasole ama il sole,Le tournesol aime le soleil,ひまわりは太陽が大好きです,El girasol ama el sol,Sonnenblume liebt Sonne
Win_Level_158,Swing around giving me a headache,Đu qua đu lại chóng cả mặt,나에게 두통을주는 스윙,摆动周围给我头疼,"Качаться вокруг, давая мне головную боль",Oscillare intorno dandomi un mal di testa,Balancer me donner un mal de tête,頭痛を与えながら揺れる,Girar alrededor dándome un dolor de cabeza,"Schwingen herum, um mir Kopfschmerzen zu geben"
Win_Level_159,Just give her a slice of cake is ok,Cắt cho em bé miếng bánh thôi là được mà ,그냥 그녀에게 케이크 조각을 꺼냅니다,只是给她一片蛋糕没关系,Просто дай ей кусочек торта в порядке,Dammi solo una fetta di torta è ok,Donnez-lui juste une tranche de gâteau est ok,彼女にケーキのスライスを与えるだけです,Solo dale una rebanada de pastel está bien,Gib ihr nur ein Stück Kuchen ist in Ordnung
Win_Level_160,It's crazy to choose to wear a skirt to go skydiving,Ai lại mặc váy nhảy dù bao giờ,스카이 다이빙을하기 위해 치마를 착용하기로 선택하는 것이 미쳤습니다.,选择穿裙子去跳伞是疯了,"Это сумасшедший, чтобы выбрать юбку, чтобы пойти на прыжку с парашютом",È pazzo di scegliere di indossare una gonna per andare a paracadutismo,C'est fou de choisir de porter une jupe pour faire du parachutisme,スカートを着るためにスカートを着ることを選ぶのはクレイジーです,Es una locura elegir usar una falda para ir de paracaidismo.,"Es ist verrückt, einen Rock zu tragen, um Skydiving zu gehen"
Win_Level_161,"Instead of stitching it up, tearing it off will make the dress look better","Thay vì khâu lại, xe bớt chiếc váy đi sẽ đẹp hơn đấy",그것을 꿰매는 대신에 그것을 찢어 버리면 드레스가 더 좋아 보일 것입니다.,而不是缝合它，撕掉它会使衣服看起来更好,"Вместо того, чтобы сшить его, разрывая его, сделает платье лучше","Invece di cucinarlo, strapparlo farà sembrare il vestito migliore","Au lieu de la coudre, le déchirera la robe plus belle",それを縫い付けずにそれを引き裂くのではなく、ドレスを良く見せるでしょう,"En lugar de coserlo, desgarrarlo hará que el vestido se vea mejor.","Anstatt es aufzunehmen, wird das Anreißen das Kleid dazu bringen, das Kleid besser auszusehen"
Win_Level_162,Forbidden love,Tình yêu bị ngăn cấm ,금지 된 사랑,禁忌的爱,Запрещенная любовь,Amore proibito,Amour interdit,禁じられた愛,Amor prohibido,Verbotene Liebe
Win_Level_163,How can he landing?,Rồi làm sao mà hạ cánh?,그는 어떻게 착륙 할 수 있습니까?,他怎么登陆？,Как он может посадить?,Come può atterrare?,Comment peut-il atterrir?,彼はどのように着陸することができますか？,¿Cómo se puede aterrizar?,Wie kann er landen?
Win_Level_164,The normal nose has funny enough,Chiếc mũi bình thường đã đủ hài hước rồi ,정상적인 코는 충분히 재미 있습니다,普通的鼻子足够有趣,Нормальный нос достаточно смешно,Il naso normale è abbastanza divertente,Le nez normal a assez drôle,通常の鼻は十分に面白いです,La nariz normal tiene lo suficientemente divertido.,Die normale Nase hat lustig genug
Win_Level_165,What about cutting a piece of the other wing to make the perfect balance?,Cắt bỏ cánh còn lại đi cho cân bằng thì sao nhỉ?,완벽한 균형을 만들기 위해 다른 날개 조각을 자르면 어떨까요?,切割一块另一个翅膀怎么做完美的平衡？,"Как насчет разрезать часть другого крыла, чтобы сделать идеальный баланс?",Che ne dici di tagliare un pezzo dell'altra ala per rendere il perfetto equilibrio?,Qu'en est-il de couper un morceau de l'autre aile pour faire l'équilibre parfait?,完璧なバランスをとるために他の翼の一部を切るのはどうですか？,¿Qué pasa con cortar una pieza del otro ala para hacer el equilibrio perfecto?,"Was ist mit dem Schneiden eines Stücks des anderen Flügels, um das perfekte Gleichgewicht zu machen?"
Win_Level_166,You may already know: You can use math to solve Rubik,Có thể bạn đã biết: Rubik có thể dùng toán học để giải,이미 알고 있을지도 모릅니다. 수학을 사용하여 Rubik을 해결할 수 있습니다.,您可能已经知道：您可以使用数学来解决rubik,"Вы можете уже знать: вы можете использовать математику, чтобы решить Rubik",Potresti già sapere: puoi usare la matematica per risolvere Rubik,Vous savez peut-être déjà: vous pouvez utiliser les maths pour résoudre Rubik,あなたはすでに知っているかもしれません：あなたはRubikを解決するために数学を使うことができます,Es posible que ya sepa: Puedes usar Matemáticas para resolver Rubik,"Sie wissen vielleicht schon: Sie können Mathe verwenden, um Rubik zu lösen"
Win_Level_167,Children often cling to moms,Trẻ con thường bám mẹ hơn là bố ,아이들은 종종 엄마에게 달라 붙습니다,孩子们经常抓住妈妈,Дети часто цепляются за мамами,I bambini spesso si aggrappano alle mamme,Les enfants s'accrochent souvent aux mamans,子供たちはしばしばお母さんにしがみついています,Los niños a menudo se aferran a las mamás.,Kinder haften oft an Mütter
Win_Level_168,Fake statue to steal coin from fountain?,Giả làm tượng để trộm tiền xu trong đài phun nước sao?,분수에서 동전을 훔치는 가짜 동상?,假雕像从喷泉偷硬币？,"Поддельная статуя, чтобы украсть монету из фонтана?",Statua falsa per rubare moneta dalla fontana?,Fake Statue pour voler la pièce de la fontaine?,噴水からコインを盗むための偽の像？,¿Estatua falsa para robar una moneda de la fuente?,"Fake-Statue, um Münze aus dem Brunnen zu stehlen?"
Win_Level_169,"Why in the story, monsters are always villain?","Tại sao trong các câu chuyện, quái vật luôn là phản diện?",왜 이야기에서 괴물은 항상 악당입니까?,为什么在故事中，怪物永远是恶棍？,Почему в истории монстры всегда злодей?,"Perché nella storia, i mostri sono sempre cattivo?","Pourquoi dans l'histoire, les monstres sont toujours méchants?",物語の中で、モンスターはいつも悪役ですか？,"¿Por qué en la historia, los monstruos siempre son villanos?",Warum in der Geschichte sind Monster immer Bösewicht?
Win_Level_170,"With that distance, the boy can jump over",Với khoảng cách đó thực ra chàng trai có thể nhảy qua được,그 거리에 소년은 지나칠 수 있습니다,随着这个距离，男孩可以跳过,С этим расстоянием мальчик может прыгать,"Con quella distanza, il ragazzo può saltare","Avec cette distance, le garçon peut sauter sur",その距離で、その少年は飛び越えることができます,"Con esa distancia, el niño puede saltar.",Mit dieser Entfernung kann der Junge überspringen
Win_Level_171,Luckily he didn't kick on goalkeeper's face,May là không đá phải mặt thủ môn,운 좋게 그는 골키퍼의 얼굴을 걷어차 지 않았습니다,幸运的是，他没有踢守门员的脸,"К счастью, он не пнул на лицо вратаря",Fortunatamente non ha calciato il viso del portiere,"Heureusement, il n'a pas lancé le visage du gardien de but",幸いなことに、彼はゴールキーパーの顔にキックしませんでした,Por suerte no pateó en la cara del portero.,Zum Glück trat er nicht auf das Gesicht des Torhüters
Win_Level_172,3 points,3 điểm,3 포인트,3分,3 балла,3 punti,3 points,3ポイント,3 puntos,3 Punkte
Win_Level_173,,,,,,,,,,
Win_Level_174,"The more you run, the angrier the dog is","Bạn càng chạy, chó càng đuổi ",당신이 실행할수록 개는 개가있는 angrier입니다.,你跑的越多，狗的愤怒是,"Чем больше вы бегите, устойчивый собака","Più corri, l'angrier il cane è","Plus vous courez, l'agresseur le chien est",あなたが走っているほど、犬が怒っている,"Cuanto más corres, el Angrier el perro es","Je mehr Sie laufen, der Angrier der Hund ist"
Win_Level_175,I will need such a dragon in the kitchen,Tôi sẽ cần một chú rồng như vậy trong bếp,나는 부엌에서 그런 용을 필요로 할 것입니다,我需要在厨房里这样一条龙,Мне понадобится такой дракон на кухне,Avrò bisogno di un tale drago in cucina,J'aurai besoin d'un tel dragon dans la cuisine,私はそのような台所でそのようなドラゴンを必要とします,Necesitaré un dragón de este tipo en la cocina.,Ich brauche einen solchen Drachen in der Küche
Win_Level_176,Hurry can not succeed,Vội vàng không thể thành công ,서둘러는 성공할 수 없습니다,匆忙不能成功,Спешите не могут добиться успеха,HURRY non può avere successo,Dépêcher peut ne pas réussir,急いで成功することはできません,Prisa no puede tener éxito,Eile kann nicht erfolgreich sein
Win_Level_177,Good shot,Bắn tốt đấy ,좋은 총,好球,Хороший выстрел,Bel colpo,Bon tir,良い撮影,Buen tiro,Guter Schuss
Win_Level_178,,,,,,,,,,
Win_Level_179,,,,,,,,,,
Win_Level_180,What about installing donut instead of wheel?,Vậy lắp bánh vòng thay cho bánh xe thì sao nhỉ?,바퀴 대신 도넛을 설치하는 것은 어떻습니까?,如何安装甜甜圈而不是轮子？,Как насчет установки пончика вместо колеса?,E l'installazione di ciambella invece di ruota?,Qu'en est-il d'installer Donut au lieu de roue?,ホイールの代わりにドーナツの取り付けはどうですか？,¿Qué pasa con la instalación de la donut en lugar de la rueda?,Was ist mit der Installation von Donut statt Rad?
Win_Level_181,Expensive circles,Những hình tròn đắt đỏ,값 비싼 원,昂贵的圈子,Дорогие круги,Cerchi costosi,Cercles coûteux,高価なサークル,Círculos caros,Teure Kreise
Win_Level_182,"In fact, the 4-wing logo is better than that",Thực ra logo Bently 4 cánh lại đẹp hơn ấy nhỉ,사실 4 익일 로고는 그보다 낫습니다.,事实上，4-翼标志比这更好,"На самом деле, 4-картон логотип лучше, чем это","In effetti, il logo a 4 ala è migliore di quello","En fait, le logo à 4 ailes est meilleur que celui-là",実際、4翼のロゴはそれより優れています,"De hecho, el logotipo de 4 alas es mejor que eso.",Tatsächlich ist das 4-Wing-Logo besser als das
Win_Level_183,It turns out that inner beauty is what this means,Hóa ra vẻ đẹp bên trong là ý này,이는 내면의 아름다움이 이것이 의미하는 것입니다.,事实证明，内心美是这意味着什么,"Оказывается, что внутренняя красота - это то, что это значит",Si scopre che la bellezza interiore è ciò che significa questo,Il s'avère que la beauté intérieure est ce que cela signifie,それは内なる美しさがこれが意味するものであることがわかりました,Resulta que la belleza interior es lo que esto significa.,"Es stellt sich heraus, dass innere Schönheit das ist, was das bedeutet"
Win_Level_184,"The more beautiful the mushroom, the more toxic it is",Nấm càng đẹp thì càng độc hại,"더 아름답게 버섯, 더 독성이 많습니다.",蘑菇越漂亮，毒性越多,"Чем красивее гриб, тем более токсично это","Il più bello il fungo, il più tossico è","Plus le champignon est beau, plus il est toxique",もっと美しいキノコ、それはより有毒です,"Cuanto más hermoso sea el hongo, más tóxico es","Je schöner der Pilz, desto toxischer ist es"
Win_Level_185,Then I want to know who won it?,Rồi tôi muốn biết ai thắng ván bài đó?,그런 다음 누가 그것을 얻은 사람을 알고 싶습니까?,那我想知道谁赢了吗？,"Тогда я хочу знать, кто это выиграл?",Allora voglio sapere chi lo ha vinto?,Alors je veux savoir qui l'a gagné?,それから私は誰がそれを勝ったのか知りたいですか？,Entonces quiero saber quién lo ganó?,"Dann möchte ich wissen, wer es gewonnen hat?"
Win_Level_186,Traffic is convenient,Giao thông thuận tiện ghê,트래픽이 편리합니다,交通便利,Движение удобно,Il traffico è conveniente,Le trafic est pratique,トラフィックは便利です,El tráfico es conveniente,Der Verkehr ist praktisch
Win_Level_187,,,,,,,,,,
Win_Level_188,Mystery after sand castle,Bí ẩn sau lâu đài cát,모래 성 후의 수수께끼,沙城后的神秘,Тайна после песчаного замка,Mistero dopo il castello di sabbia,Mystère après château de sable,砂の城の後の謎,Misterio después del castillo de arena,Geheimnis nach Sandburg
Win_Level_189,So tough,Dẻo dai ghê,너무 힘들어,太难了,Так жестко,Così duro,Si difficile,だからタフに,Tan duro,So hart
Win_Level_190,Healing is easy,Chữa bệnh là dễ,치유는 쉬운입니다,愈合很容易,Исцеление легко,La guarigione è facile,La guérison est facile,癒しは簡単です,La curación es fácil,Heilung ist einfach
Win_Level_191,Makeup is deceiving for men,Makeup là lừa dối đối với đàn ông,메이크업은 남자를 위해 속이고 있습니다,化妆是欺骗男人,Макияж обманывает для мужчин,Il trucco è ingannevole per gli uomini,Le maquillage est tromper pour les hommes,化粧は男性を欺くことです,Maquillaje es engañoso para hombres,Makeup täuscht sich für Männer
Win_Level_192,Just in time,Cứu cánh kịp thời,그냥 시간에,就在时间,Вовремя,Appena in tempo,Juste à temps,ちょっと時間内に,Justo a tiempo,Gerade rechtzeitig
